sim_n	seed	popsize_2N	iniCN	selCoeff	time_g	exchg_r	mean	median	mode	sd	alpha	beta	p_val	class
112	106776805	5000	500	0.000000	1000	0.674463	382.171 	 342 	 346 	 232.5429 	 2.598325 	 0.006800114 	 0.01120883 	 1 
113	107331436	5000	500	0.000000	1000	0.776004	530.2144 	 462 	 189 	 340.7105 	 2.368056 	 0.004466468 	 0.02815429 	 1 
114	107970102	5000	500	0.000000	1000	0.973098	303.8616 	 267 	 211 	 189.9785 	 2.521281 	 0.008299208 	 0.01050764 	 1 
115	108507926	5000	500	0.000000	1000	0.779881	528.2664 	 461 	 432 	 323.0874 	 2.604975 	 0.004932018 	 0.003539914 	 0 
116	109197013	5000	500	0.000000	1000	0.982826	407.9576 	 356 	 180 	 253.0256 	 2.546091 	 0.006239654 	 0.01445589 	 1 
117	109802065	5000	500	0.000000	1000	0.911735	424.8666 	 376 	 204 	 267.9899 	 2.383441 	 0.005610339 	 0.01742144 	 1 
118	110642415	5000	500	0.000000	1000	0.860229	544.5436 	 473 	 409 	 346.1933 	 2.471247 	 0.004538211 	 0.01637739 	 1 
119	111264274	5000	500	0.000000	1000	0.994676	589.0718 	 513 	 566 	 370.2875 	 2.423616 	 0.004114465 	 0.02984147 	 1 
120	112054203	5000	500	0.000000	1000	0.821326	143.0238 	 125 	 64 	 89.54837 	 2.475785 	 0.01730873 	 0.07549366 	 1 
121	112474378	5000	500	0.000000	1000	0.751451	414.9142 	 364 	 457 	 261.2933 	 2.419723 	 0.005831041 	 0.009846365 	 0 
122	113012202	5000	500	0.000000	1000	0.784105	303.322 	 266 	 176 	 193.5294 	 2.431541 	 0.008016242 	 0.01538975 	 1 
123	113583640	5000	500	0.000000	1000	0.546560	261.786 	 228 	 155 	 163.4945 	 2.462266 	 0.009405091 	 0.04685649 	 1 
124	114003815	5000	500	0.000000	1000	0.717702	379.5282 	 327 	 321 	 242.5563 	 2.459553 	 0.006481341 	 0.002853946 	 0 
125	114608867	5000	500	0.000000	1000	0.840788	446.6898 	 387 	 437 	 287.9838 	 2.472944 	 0.005536994 	 0.002467246 	 0 
126	115499638	5000	500	0.000000	1000	0.713878	429.0912 	 379.5 	 371 	 267.4257 	 2.520186 	 0.005874541 	 0.001835106 	 0 
127	116205532	5000	500	0.000000	1000	0.940598	612.3394 	 541 	 416 	 382.6454 	 2.515428 	 0.004108297 	 0.004078391 	 0 
128	117113110	5000	500	0.000000	1000	0.442700	273.4026 	 234 	 150 	 180.6745 	 2.310092 	 0.008450826 	 0.003295976 	 0 
129	117499671	5000	500	0.000000	1000	0.833188	579.8804 	 512 	 327 	 374.2518 	 2.390729 	 0.004122517 	 0.0007266593 	 0 
130	118171951	5000	500	0.000000	1000	0.850819	635.356 	 550 	 845 	 415.7215 	 2.370456 	 0.003730827 	 0.001977241 	 0 
131	118743389	5000	500	0.000000	1000	0.967393	403.0152 	 353 	 359 	 252.7619 	 2.428109 	 0.006026002 	 0.01852464 	 1 
132	119382055	5000	500	0.000000	1000	0.990816	301.2526 	 260 	 165 	 196.9466 	 2.340193 	 0.007768207 	 0.006177431 	 0 
133	119936686	5000	500	0.000000	1000	0.935844	303.9968 	 271 	 284 	 185.3784 	 2.567587 	 0.008444988 	 0.03348501 	 1 
134	120457703	5000	500	0.000000	1000	0.765566	285.9244 	 244.5 	 137 	 183.5961 	 2.54242 	 0.008891698 	 0.0005268194 	 0 
135	121012334	5000	500	0.000000	1000	0.648943	524.3116 	 455 	 350 	 328.7005 	 2.419427 	 0.004613987 	 0.06462935 	 1 
136	121701421	5000	500	0.000000	1000	0.295808	391.0026 	 333 	 270 	 245.7322 	 2.588765 	 0.006620416 	 0.003800385 	 0 
137	122121596	5000	500	0.000000	1000	0.542316	327.9332 	 290 	 267 	 205.4846 	 2.42383 	 0.007392523 	 0.03751331 	 1 
138	122592192	5000	500	0.000000	1000	0.886656	484.6812 	 425 	 386 	 307.0451 	 2.419874 	 0.004992894 	 0.01273943 	 1 
